ESTIMATE,GRP1,GRP2,PLOT_COUNT,SE,SE_PERCENT,VARIANCE
21621.858631729,`0002 01003 AL Baldwin,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",4,11010.4566257472,50.9228036927,121230155.10745983
4334.9357681503,`0002 01003 AL Baldwin,`0017 Wetland,1,4413.8810647152,101.8211410915,19482346.053451773
731076.5367123983,`0002 01003 AL Baldwin,`0020 Forest (presnfcd is null),133,56357.5354581802,7.708842047,3176171802.9200373
4241.1429718131,`0002 01003 AL Baldwin,`0022 Noncensus water (presnfcd is null),2,3135.3823746287,73.9277688931,9830622.635132294
254952.4710939011,`0002 01003 AL Baldwin,`0023 Census water (presnfcd is null),43,33195.5476257495,13.0202886378,1101944382.1734004
2732.8346556863,`0003 01005 AL Barbour,`0001 Agricultural land,1,2768.2364581713,101.2954242369,7663133.08834867
29147.004464129,`0003 01005 AL Barbour,`0002 Cropland,5,13160.3956126468,45.1517946856,173196012.68137243
17869.3419910859,`0003 01005 AL Barbour,`0003  Pasture (improved through cultural practices),3,10345.9408014191,57.8977155767,107038491.06646898
13574.4810018703,`0003 01005 AL Barbour,`0004 Idle farmland,3,8637.8953442624,63.6333377539,74613235.9784299
5774.952419596,`0003 01005 AL Barbour,`0010 Developed,1,5891.0883279158,102.0110279684,34704921.687305816
32562.2711079477,`0003 01005 AL Barbour,"`0011 Cultural (business, residential, other intense human activity)",7,13447.8930140086,41.2990020549,180845826.5162201
7581.4432999246,`0003 01005 AL Barbour,"`0012 Rights-of-way (improved road, railway, power line)",6,3885.1452395211,51.2454566475,15094353.532173336
442719.772431306,`0003 01005 AL Barbour,`0020 Forest (presnfcd is null),76,49538.7537730786,11.189641136,2454088125.389705
23372.052044533,`0003 01005 AL Barbour,`0023 Census water (presnfcd is null),4,11808.9234937904,50.5258308996,139450674.08219486
26725.8318210687,`0004 01007 AL Bibb,`0003  Pasture (improved through cultural practices),5,12324.2825698993,46.1137473752,151887940.86272264
12855.8110500664,`0004 01007 AL Bibb,"`0011 Cultural (business, residential, other intense human activity)",3,7510.0631181104,58.4176532221,56401048.03800149
9240.5886571369,`0004 01007 AL Bibb,"`0012 Rights-of-way (improved road, railway, power line)",7,3992.2679905658,43.203611141,15938203.708496265
320476.3676503797,`0004 01007 AL Bibb,`0020 Forest (presnfcd is null),59,41230.1689401899,12.8652759149,1699926830.8365989
4203.0711208473,`0004 01007 AL Bibb,`0022 Noncensus water (presnfcd is null),1,4390.7120046438,104.464375653,19278351.907722976
5604.0948277965,`0004 01007 AL Bibb,`0023 Census water (presnfcd is null),1,5854.2826728584,104.464375653,34272625.61372974
28019.1867433875,`0005 01009 AL Blount,`0002 Cropland,6,12189.5436225657,43.5042734616,148584973.72643232
87909.7314537026,`0005 01009 AL Blount,`0003  Pasture (improved through cultural practices),16,22164.2278204748,25.2124849592,491252994.877911
6954.8547452692,`0005 01009 AL Blount,`0004 Idle farmland,2,6083.8267437785,87.475971341,37012947.84831477
1630.8467382952,`0005 01009 AL Blount,`0010 Developed,1,1637.7085556274,100.42075182,2682089.313175142
36924.8685951387,`0005 01009 AL Blount,"`0011 Cultural (business, residential, other intense human activity)",8,14257.6744480245,38.6126613052,203281280.66585007
11856.5685377349,`0005 01009 AL Blount,"`0012 Rights-of-way (improved road, railway, power line)",5,7436.5301748585,62.7207623453,55301981.04158133
240144.9035961726,`0005 01009 AL Blount,`0020 Forest (presnfcd is null),47,35735.7072403756,14.8808934544,1277040771.9698339
3719.6778624706,`0005 01009 AL Blount,`0022 Noncensus water (presnfcd is null),2,2627.6096978681,70.6407865149,6904332.724330325
12123.5555527244,`0006 01011 AL Bullock,`0001 Agricultural land,2,8526.4046088959,70.3292410532,72699575.5546021
6047.194785745,`0006 01011 AL Bullock,`0002 Cropland,1,6024.5740188337,99.6259295804,36295492.10840572
40696.909303321,`0006 01011 AL Bullock,`0003  Pasture (improved through cultural practices),7,15483.1232892979,38.0449610409,239727106.7915992
1444.3614200279,`0006 01011 AL Bullock,`0007 Maintained wildlife opening,1,1463.0720279318,101.2954242369,2140579.7589164833
5774.952419596,`0006 01011 AL Bullock,"`0011 Cultural (business, residential, other intense human activity)",1,5891.0883279158,102.0110279684,34704921.687305816
8220.7458988272,`0006 01011 AL Bullock,"`0012 Rights-of-way (improved road, railway, power line)",3,6323.884807261,76.9259247894,39991519.05550645
327903.6589893983,`0006 01011 AL Bullock,`0020 Forest (presnfcd is null),55,43126.446179239,13.1521698514,1859890360.0508018
6047.194785745,`0006 01011 AL Bullock,`0022 Noncensus water (presnfcd is null),1,6024.5740188337,99.6259295804,36295492.10840572
29147.004464129,`0007 01013 AL Butler,`0002 Cropland,5,13160.3956126468,45.1517946856,173196012.68137243
30741.4831643532,`0007 01013 AL Butler,`0003  Pasture (improved through cultural practices),6,13298.3050938326,43.2585019491,176844918.3686533
4525.2478767041,`0007 01013 AL Butler,"`0011 Cultural (business, residential, other intense human activity)",3,3322.3145326829,73.4172938854,11037773.854075966
16429.6014997994,`0007 01013 AL Butler,"`0012 Rights-of-way (improved road, railway, power line)",9,8415.8408396825,51.2236455631,70826377.03886798
403147.7992638878,`0007 01013 AL Butler,`0020 Forest (presnfcd is null),70,47090.9948214343,11.680826463,2217561793.272348
2854.3097066809,`0007 01013 AL Butler,`0022 Noncensus water (presnfcd is null),2,2006.8976933285,70.31113998,4027638.3514871653
41675.6778605292,`0008 01015 AL Calhoun,`0002 Cropland,7,15736.1472955385,37.7585875104,247626331.7068835
44616.6691757373,`0008 01015 AL Calhoun,`0003  Pasture (improved through cultural practices),8,15763.6838155332,35.3313775025,248493727.43610466
11780.8415986356,`0008 01015 AL Calhoun,`0010 Developed,2,8428.2625717752,71.54210929,71035609.97878632
54259.9253065197,`0008 01015 AL Calhoun,"`0011 Cultural (business, residential, other intense human activity)",10,17591.8578301482,32.4214560392,309473461.9161461
11678.9385315258,`0008 01015 AL Calhoun,"`0012 Rights-of-way (improved road, railway, power line)",5,7373.0123904142,63.1308433597,54361311.709200636
194733.8695428854,`0008 01015 AL Calhoun,`0020 Forest (presnfcd is null),37,32661.1492938435,16.7721975486,1066750673.1947327
5757.0948449248,`0008 01015 AL Calhoun,`0023 Census water (presnfcd is null),1,5897.0197489021,102.4304776584,34774841.91894161
11822.147205341,`0009 01017 AL Chambers,`0002 Cropland,2,8426.1743273986,71.2744832309,71000413.79571153
18761.0836576522,`0009 01017 AL Chambers,`0003  Pasture (improved through cultural practices),5,10088.2070720169,53.7719849029,101771921.92789173
4535.3960893087,`0009 01017 AL Chambers,`0007 Maintained wildlife opening,1,4518.4305141253,99.6259295804,20416214.31097821
14747.3176693787,`0009 01017 AL Chambers,"`0011 Cultural (business, residential, other intense human activity)",3,8931.9740854684,60.566770756,79780161.06347932
11353.0370471818,`0009 01017 AL Chambers,"`0012 Rights-of-way (improved road, railway, power line)",4,6570.3969150101,57.8734737472,43170115.620773725
310098.0297288335,`0009 01017 AL Chambers,`0020 Forest (presnfcd is null),57,41518.2841295553,13.3887610205,1723767917.0624807
2913.4865032367,`0009 01017 AL Chambers,`0022 Noncensus water (presnfcd is null),2,2066.5220071153,70.9295205184,4270513.205892004
4387.7556960566,`0009 01017 AL Chambers,`0023 Census water (presnfcd is null),1,4444.5957468005,101.2954242369,19754431.35247753
43884.7002246318,`0010 01019 AL Cherokee,`0002 Cropland,8,15667.1970732181,35.7008182647,245461064.13105235
26879.745425072,`0010 01019 AL Cherokee,`0003  Pasture (improved through cultural practices),6,11872.8485395946,44.1702417632,140964532.4441537
4516.348792326,`0010 01019 AL Cherokee,`0007 Maintained wildlife opening,1,4626.1176406977,102.4304776584,21400964.425574727
22560.7237657708,`0010 01019 AL Cherokee,"`0011 Cultural (business, residential, other intense human activity)",5,11263.709588824,49.9261890078,126871153.701365
10926.0647167462,`0010 01019 AL Cherokee,"`0012 Rights-of-way (improved road, railway, power line)",5,6924.563866581,63.3765591372,47949584.742359415
253868.3962850542,`0010 01019 AL Cherokee,`0020 Forest (presnfcd is null),49,37104.0903098667,14.6154822155,1376713517.7227418
2068.7534188672,`0010 01019 AL Cherokee,`0022 Noncensus water (presnfcd is null),1,2068.0475637641,99.9658801723,4276820.72599077
29244.145539976,`0010 01019 AL Cherokee,`0023 Census water (presnfcd is null),5,13184.06153222,45.0827380619,173819478.48536286
1519.0901917449,`0011 01021 AL Chilton,`0001 Agricultural land,1,1508.3949136043,99.2959418605,2275255.215387274
4387.7556960566,`0011 01021 AL Chilton,`0002 Cropland,1,4444.5957468005,101.2954242369,19754431.35247753
49780.8252480627,`0011 01021 AL Chilton,`0003  Pasture (improved through cultural practices),10,16307.1004774953,32.757794585,265921525.98312604
5774.952419596,`0011 01021 AL Chilton,`0010 Developed,1,5891.0883279158,102.0110279684,34704921.687305816
43654.5445256454,`0011 01021 AL Chilton,"`0011 Cultural (business, residential, other intense human activity)",9,15745.8415739908,36.0691922115,247931526.873216
7215.4039966602,`0011 01021 AL Chilton,"`0012 Rights-of-way (improved road, railway, power line)",4,4512.7333265657,62.5430444179,20364762.076696347
336649.1035653431,`0011 01021 AL Chilton,`0020 Forest (presnfcd is null),63,42848.5760987775,12.727963819,1836000473.6927254
1977.0047391444,`0011 01021 AL Chilton,`0023 Census water (presnfcd is null),1,1963.0854763612,99.2959418605,3853704.5875001173
143.3305093208,`0012 01023 AL Choctaw,`0002 Cropland,1,144.6042565262,100.8886783501,20910.3910055035
4453.0396814089,`0012 01023 AL Choctaw,`0003  Pasture (improved through cultural practices),1,4509.968240477,101.278420206,20339813.530111477
5318.9227530544,`0012 01023 AL Choctaw,`0004 Idle farmland,1,5733.4658601134,107.7937418215,32872630.76908572
7517.8264467372,`0012 01023 AL Choctaw,`0007 Maintained wildlife opening,2,5225.7531110114,69.5114890991,27308495.57724487
13687.4505660162,`0012 01023 AL Choctaw,"`0011 Cultural (business, residential, other intense human activity)",3,8298.5925896918,60.629205926,68866638.96968685
25890.5006285868,`0012 01023 AL Choctaw,"`0012 Rights-of-way (improved road, railway, power line)",10,8927.6953860111,34.4825135446,79703744.90540399
532131.7818941307,`0012 01023 AL Choctaw,`0020 Forest (presnfcd is null),95,51797.5313514038,9.7339668695,2682984254.0996637
1248.3134360116,`0012 01023 AL Choctaw,`0022 Noncensus water (presnfcd is null),2,1069.6453001418,85.6872376187,1144141.0681155429
3309.9877049901,`0013 01025 AL Clarke,`0001 Agricultural land,1,3339.4028491148,100.8886783501,11151611.388675893
10637.8455061089,`0013 01025 AL Clarke,`0002 Cropland,2,8019.7267236561,75.3886369101,64316016.72212423
22209.6598048999,`0013 01025 AL Clarke,`0003  Pasture (improved through cultural practices),5,10672.0698343975,48.0514781773,113893074.5502578
9689.3686338887,`0013 01025 AL Clarke,`0007 Maintained wildlife opening,2,6665.7802934256,68.7947847305,44432626.92022139
12255.2809965981,`0013 01025 AL Clarke,"`0011 Cultural (business, residential, other intense human activity)",3,8313.5999313764,67.8368772914,69115943.81898098
19369.5522743127,`0013 01025 AL Clarke,"`0012 Rights-of-way (improved road, railway, power line)",11,8209.4137683267,42.383084813,67394474.41959125
738678.5235372616,`0013 01025 AL Clarke,`0020 Forest (presnfcd is null),129,59436.1470742775,8.0462806458,3532655579.0351486
3677.8855854268,`0013 01025 AL Clarke,`0022 Noncensus water (presnfcd is null),3,2267.997298489,61.6657926357,5143811.745953349
5318.9227530544,`0013 01025 AL Clarke,`0023 Census water (presnfcd is null),1,5733.4658601134,107.7937418215,32872630.76908572
12802.8097876867,`0014 01027 AL Clay,`0002 Cropland,3,8039.8499063568,62.7975424121,64639186.51674489
24168.7553535423,`0014 01027 AL Clay,`0003  Pasture (improved through cultural practices),4,12062.0708831856,49.9077040035,145493553.9909934
1505.9366884277,`0014 01027 AL Clay,`0004 Idle farmland,1,1505.4228654236,99.9658801723,2266298.0037402944
12239.5129139874,`0014 01027 AL Clay,`0010 Developed,2,8590.7194487221,70.1884095314,73800460.64665261
10526.2068428989,`0014 01027 AL Clay,"`0011 Cultural (business, residential, other intense human activity)",4,6603.4846855368,62.7337538022,43606009.992119126
6404.3663812826,`0014 01027 AL Clay,"`0012 Rights-of-way (improved road, railway, power line)",4,3827.8141596806,59.7688191429,14652161.241051253
302292.7837042861,`0014 01027 AL Clay,`0020 Forest (presnfcd is null),55,40008.5150579833,13.2350215469,1600681277.144877
11514.1896898497,`0015 01029 AL Cleburne,`0002 Cropland,2,8311.4230756039,72.1841770848,69079753.54168132
18411.6605086174,`0015 01029 AL Cleburne,`0003  Pasture (improved through cultural practices),3,10522.2959506018,57.1501736396,110718712.0720518
10414.9805683152,`0015 01029 AL Cleburne,`0007 Maintained wildlife opening,2,7379.1393374632,70.8512060014,54451697.36169698
12195.8943483408,`0015 01029 AL Cleburne,"`0011 Cultural (business, residential, other intense human activity)",2,8579.2305484005,70.3452350714,73603196.80260894
22380.579581091,`0015 01029 AL Cleburne,"`0012 Rights-of-way (improved road, railway, power line)",8,10111.5249858221,45.1799067544,102242937.53890415
257414.3831243359,`0015 01029 AL Cleburne,`0020 Forest (presnfcd is null),48,36946.9581927581,14.3531055819,1365077719.6974154
6215.7661602766,`0015 01029 AL Cleburne,`0022 Noncensus water (presnfcd is null),1,6126.9643859588,98.5713462825,37539692.58680791
5774.952419596,`0016 01031 AL Coffee,`0001 Agricultural land,1,5891.0883279158,102.0110279684,34704921.687305816
92742.5474697714,`0016 01031 AL Coffee,`0002 Cropland,19,22418.2046952926,24.1725133791,502575901.7600402
24562.3949104028,`0016 01031 AL Coffee,`0003  Pasture (improved through cultural practices),5,11793.8737228236,48.015976316,139095457.38990867
6047.194785745,`0016 01031 AL Coffee,`0007 Maintained wildlife opening,1,6024.5740188337,99.6259295804,36295492.10840572
35584.3758477883,`0016 01031 AL Coffee,"`0011 Cultural (business, residential, other intense human activity)",7,14132.6090345662,39.7157704691,199730638.1239014
16638.4579452297,`0016 01031 AL Coffee,"`0012 Rights-of-way (improved road, railway, power line)",6,8583.8993724822,51.5907147209,73683328.4369008
241102.905323401,`0016 01031 AL Coffee,`0020 Forest (presnfcd is null),45,36323.5642964498,15.0655854801,1319401323.1983263
6076.3607669795,`0016 01031 AL Coffee,`0023 Census water (presnfcd is null),1,6033.5796544171,99.2959418605,36404083.446196385
74243.8476869216,`0017 01033 AL Colbert,`0002 Cropland,13,20315.6635658931,27.3634303701,412726186.122555
39434.7777178016,`0017 01033 AL Colbert,`0003  Pasture (improved through cultural practices),8,14806.3969974817,37.5465461057,219229392.04703444
11795.1037121092,`0017 01033 AL Colbert,`0010 Developed,2,8416.4183182958,71.3551870651,70836097.30854443
25226.7242287399,`0017 01033 AL Colbert,"`0011 Cultural (business, residential, other intense human activity)",6,11926.9085771266,47.2788637517,142251148.20713526
25305.8374543625,`0017 01033 AL Colbert,"`0012 Rights-of-way (improved road, railway, power line)",7,11426.9124281788,45.1552431283,130574327.6412674
6058.3461218897,`0017 01033 AL Colbert,`0017 Wetland,1,6035.6737708521,99.6257666601,36429357.86815248
227482.5263137778,`0017 01033 AL Colbert,`0020 Forest (presnfcd is null),41,34456.9693083825,15.1470839834,1187282733.9188156
12055.3370109199,`0017 01033 AL Colbert,`0023 Census water (presnfcd is null),2,8484.8212714349,70.3822818371,71992192.00819452
1731.1754450207,`0018 01035 AL Conecuh,`0001 Agricultural land,1,1622.7521755192,93.7370143613,2633324.623152238
7050.0981980752,`0018 01035 AL Conecuh,`0002 Cropland,2,5958.6873883631,84.5192112358,35505955.39223796
24597.7447548237,`0018 01035 AL Conecuh,`0003  Pasture (improved through cultural practices),6,11432.1212000666,46.4762981892,130693395.13301125
6996.3368902762,`0018 01035 AL Conecuh,`0007 Maintained wildlife opening,2,6098.4888601568,87.1668839823,37191566.37745686
18894.6467716034,`0018 01035 AL Conecuh,"`0011 Cultural (business, residential, other intense human activity)",6,9094.91250211,48.1348638694,82717433.4210364
21174.8043540003,`0018 01035 AL Conecuh,"`0012 Rights-of-way (improved road, railway, power line)",9,7929.4705206824,37.4476684087,62876502.73837122
448894.3392962627,`0018 01035 AL Conecuh,`0020 Forest (presnfcd is null),81,47970.7394514636,10.6864211134,2301191843.5202103
5937.3862418785,`0018 01035 AL Conecuh,`0022 Noncensus water (presnfcd is null),1,6013.2909873027,101.278420206,36159668.49797596
10529.4703639994,`0019 01037 AL Coosa,`0002 Cropland,2,7598.8466525644,72.1674157377,57742470.44918957
16232.5108302324,`0019 01037 AL Coosa,`0003  Pasture (improved through cultural practices),3,9567.1334395213,58.9380998391,91530042.249606
16661.0564729556,`0019 01037 AL Coosa,"`0011 Cultural (business, residential, other intense human activity)",4,8685.1372977156,52.1283708018,75431609.88016978
3319.0010021732,`0019 01037 AL Coosa,"`0012 Rights-of-way (improved road, railway, power line)",5,1570.0938441214,47.3062178376,2465194.6793480227
4517.8100652831,`0019 01037 AL Coosa,`0017 Wetland,1,4516.2685962709,99.9658801723,20396682.03366264
375565.5399314432,`0019 01037 AL Coosa,`0020 Forest (presnfcd is null),68,44848.329349654,11.9415453712,2011372645.4550323
17494.3178779139,`0019 01037 AL Coosa,`0023 Census water (presnfcd is null),4,9568.0058005157,54.6920769777,91546734.99870253
8294.324041953,`0020 01039 AL Covington,`0001 Agricultural land,2,6423.0546609862,77.4391575311,41255631.17801711
31928.0397191479,`0020 01039 AL Covington,`0002 Cropland,7,13291.9415415144,41.6309352483,176675709.94303575
46837.7647890767,`0020 01039 AL Covington,`0003  Pasture (improved through cultural practices),10,15874.5255338332,33.8925770803,252000560.92432296
5779.9143575337,`0020 01039 AL Covington,`0004 Idle farmland,1,5885.1747529537,101.8211410915,34635281.87280315
5715.5144228714,`0020 01039 AL Covington,`0007 Maintained wildlife opening,3,3569.5293392292,62.4533344706,12741539.703618394
1444.9785893834,`0020 01039 AL Covington,`0010 Developed,1,1471.2936882384,101.8211410915,2164705.117050197
24786.2478151581,`0020 01039 AL Covington,"`0011 Cultural (business, residential, other intense human activity)",8,10165.8920316613,41.0142434929,103345360.79939543
19032.9834349463,`0020 01039 AL Covington,"`0012 Rights-of-way (improved road, railway, power line)",7,8418.9539756758,44.2334960489,70878786.04454736
895.0742919938,`0020 01039 AL Covington,`0017 Wetland,1,886.1170653736,98.9992756243,785203.4535463125
489156.5910172732,`0020 01039 AL Covington,`0020 Forest (presnfcd is null),93,48457.3725711602,9.9063108749,2348116956.5002246
5871.5894892279,`0020 01039 AL Covington,`0022 Noncensus water (presnfcd is null),1,5937.866088607,101.1287675935,35258253.6862288
8824.9440296292,`0020 01039 AL Covington,`0023 Census water (presnfcd is null),2,6612.3246816709,74.9276670704,43722837.69583397
10570.1980007438,`0021 01041 AL Crenshaw,`0001 Agricultural land,3,7428.8431346247,70.2810215485,55187710.318860255
6047.194785745,`0021 01041 AL Crenshaw,`0002 Cropland,1,6024.5740188337,99.6259295804,36295492.10840572
30041.6845289559,`0021 01041 AL Crenshaw,`0003  Pasture (improved through cultural practices),6,12867.1496828317,42.8309859603,165563540.96039483
2354.7446725276,`0021 01041 AL Crenshaw,`0004 Idle farmland,1,2385.2486057333,101.2954242369,5689410.911152685
16197.7782493127,`0021 01041 AL Crenshaw,"`0011 Cultural (business, residential, other intense human activity)",5,8758.8680170198,54.0745025781,76717768.93957172
7717.7612968242,`0021 01041 AL Crenshaw,"`0012 Rights-of-way (improved road, railway, power line)",4,5272.5489588175,68.3170774015,27799772.523127556
316087.5660094343,`0021 01041 AL Crenshaw,`0020 Forest (presnfcd is null),57,41646.4594284788,13.1756082513,1734427582.927927
1963.0108802981,`0021 01041 AL Crenshaw,`0022 Noncensus water (presnfcd is null),2,1570.9093572155,80.0255043404,2467756.2085871603
79315.7940812174,`0022 01043 AL Cullman,`0002 Cropland,14,21101.9495132392,26.6049779337,445292273.2592972
79069.8433056376,`0022 01043 AL Cullman,`0003  Pasture (improved through cultural practices),17,19973.4051906211,25.260458799,398936914.90873015
14442.6449855257,`0022 01043 AL Cullman,`0004 Idle farmland,3,8523.4312132625,59.0157219942,72648879.64721802
52846.7615006076,`0022 01043 AL Cullman,"`0011 Cultural (business, residential, other intense human activity)",12,16769.9858185316,31.7332327324,281232424.3537509
4978.6981632922,`0022 01043 AL Cullman,"`0012 Rights-of-way (improved road, railway, power line)",1,4907.5698069009,98.5713462825,24084241.40960554
10242.190985973,`0022 01043 AL Cullman,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",2,7420.2805230213,72.4481757193,55060563.04032969
231610.2572900095,`0022 01043 AL Cullman,`0020 Forest (presnfcd is null),51,34315.7547961959,14.8161636698,1177571027.2326393
1894.0707867563,`0022 01043 AL Cullman,`0022 Noncensus water (presnfcd is null),2,1553.9188510541,82.0412236923,2414663.7956611766
15832.0108235433,`0022 01043 AL Cullman,`0023 Census water (presnfcd is null),3,9377.404047858,59.2306571311,87935706.67678311
6047.194785745,`0023 01045 AL Dale,`0001 Agricultural land,1,6024.5740188337,99.6259295804,36295492.10840572
27198.5110823291,`0023 01045 AL Dale,`0002 Cropland,7,12126.8211990437,44.5863421065,147059792.3935768
24106.2830214502,`0023 01045 AL Dale,`0003  Pasture (improved through cultural practices),5,11831.4075598063,49.0801819147,139982204.84624135
3023.5973928725,`0023 01045 AL Dale,`0007 Maintained wildlife opening,1,3012.2870094168,99.6259295804,9073873.02710143
2524.5638369393,`0023 01045 AL Dale,`0010 Developed,1,2506.7894397597,99.2959418605,6283993.295290501
14566.8445591925,`0023 01045 AL Dale,"`0011 Cultural (business, residential, other intense human activity)",4,8649.6298655932,59.3788849084,74816096.81176159
12519.1042665336,`0023 01045 AL Dale,"`0012 Rights-of-way (improved road, railway, power line)",4,6672.3124886217,53.2970438345,44519753.94581644
264852.8989621893,`0023 01045 AL Dale,`0020 Forest (presnfcd is null),49,37997.4793220838,14.3466352345,1443808434.8321886
4478.2604702139,`0023 01045 AL Dale,`0023 Census water (presnfcd is null),1,4536.2729417379,101.2954242369,20577772.201943308
4934.651416354,`0024 01047 AL Dallas,`0001 Agricultural land,2,4477.0233742331,90.7262336585,20043738.293429494
57632.9140273228,`0024 01047 AL Dallas,`0002 Cropland,12,17676.8786654869,30.6714990276,312472039.3543457
87732.651137582,`0024 01047 AL Dallas,`0003  Pasture (improved through cultural practices),16,22080.3961230808,25.16782046,487543892.9521608
4014.7749486196,`0024 01047 AL Dallas,`0007 Maintained wildlife opening,1,3999.7568631218,99.6259295804,15998054.96409
2925.1704640377,`0024 01047 AL Dallas,`0010 Developed,1,2963.0638312004,101.2954242369,8779747.26776779
25958.7123478577,`0024 01047 AL Dallas,"`0011 Cultural (business, residential, other intense human activity)",5,11862.2591995481,45.6966394966,140713193.3172637
11651.4256356202,`0024 01047 AL Dallas,"`0012 Rights-of-way (improved road, railway, power line)",4,7483.9772661363,64.2322879636,56009915.72004454
438380.9259892682,`0024 01047 AL Dallas,`0020 Forest (presnfcd is null),83,48382.5162849383,11.0366380964,2340867882.062322
4921.602868627,`0024 01047 AL Dallas,`0022 Noncensus water (presnfcd is null),4,2543.0858234444,51.6719022507,6467285.505403861
18105.135160026,`0024 01047 AL Dallas,`0023 Census water (presnfcd is null),4,9850.1921548402,54.4055157157,97026285.48727639
3862.6705204308,`0025 01049 AL DeKalb,`0001 Agricultural land,1,3944.493889264,102.1183108526,15559032.04244097
50092.336338034,`0025 01049 AL DeKalb,`0002 Cropland,9,16855.6447746557,33.6491487658,284112760.7693775
141090.669866081,`0025 01049 AL DeKalb,`0003  Pasture (improved through cultural practices),25,27820.9286115396,19.718475104,774004068.8083802
18398.3242569859,`0025 01049 AL DeKalb,`0004 Idle farmland,4,10374.4587160759,56.3880632343,107629393.65156351
2919.2322538709,`0025 01049 AL DeKalb,`0010 Developed,1,2908.3075135064,99.6257666601,8458252.593117869
62964.9318176044,`0025 01049 AL DeKalb,"`0011 Cultural (business, residential, other intense human activity)",12,18604.6504388846,29.5476385058,346133017.95308775
16767.6944955172,`0025 01049 AL DeKalb,"`0012 Rights-of-way (improved road, railway, power line)",6,8234.0439880522,49.106595962,67799480.39717898
3321.2580441734,`0025 01049 AL DeKalb,`0017 Wetland,1,3308.8287892664,99.6257666601,10948347.956678102
184402.1710331442,`0025 01049 AL DeKalb,`0020 Forest (presnfcd is null),41,30098.5077043079,16.3222089717,905920166.0262823
17324.857258788,`0026 01051 AL Elmore,`0002 Cropland,3,10156.5339547401,58.6240556157,103155181.97378916
30918.4159069374,`0026 01051 AL Elmore,`0003  Pasture (improved through cultural practices),6,12988.0360951578,42.0074435063,168689081.6091207
5774.952419596,`0026 01051 AL Elmore,`0004 Idle farmland,1,5891.0883279158,102.0110279684,34704921.687305816
3280.8520034406,`0026 01051 AL Elmore,`0007 Maintained wildlife opening,1,3257.752897867,99.2959418605,10612953.943560997
5774.952419596,`0026 01051 AL Elmore,`0010 Developed,1,5891.0883279158,102.0110279684,34704921.687305816
43987.3651271348,`0026 01051 AL Elmore,"`0011 Cultural (business, residential, other intense human activity)",9,15340.4540719325,34.8746828267,235329531.1330714
23595.1457050106,`0026 01051 AL Elmore,"`0012 Rights-of-way (improved road, railway, power line)",6,11048.6671190949,46.8260177633,122073045.10856877
237653.5019651726,`0026 01051 AL Elmore,`0020 Forest (presnfcd is null),44,35925.3513085768,15.1166934261,1290630866.6446617
36244.1932178003,`0026 01051 AL Elmore,`0023 Census water (presnfcd is null),7,14412.5029897387,39.7649987769,207720242.4292266
48911.0318248749,`0027 01053 AL Escambia,`0002 Cropland,9,16696.8889078759,34.1372657352,278786099.20194954
25203.2309186206,`0027 01053 AL Escambia,`0003  Pasture (improved through cultural practices),5,11989.6187987334,47.5717531512,143750958.93894053
4334.9357681503,`0027 01053 AL Escambia,`0004 Idle farmland,1,4413.8810647152,101.8211410915,19482346.053451773
