countyID,countyName,state,size,2022 gdp (1000s),,,,,,,,
02100,Haines Borough,AK,2754," 102,242 ",,,,,AK,Copper River Census Area0,Copper River Census Area1,"127,377"
02105,Hoonah-Angoon Census Area,AK,17500," 96,877 ",,,,,AK,Denali Borough,Denali Borough,"282,233"
02110,Juneau City and Borough,AK,3081," 2,379,361 ",,,,,AK,Dillingham Census Area,Dillingham Census Area,"250,663"
02122,Kenai Peninsula Borough,AK,21664," 2,541,367 ",,,,,AK,Fairbanks North Star Borough,Fairbanks North Star Borough,"5,532,492"
02130,Ketchikan Gateway Borough,AK,1744," 843,173 ",,,,,AK,Haines Borough,Haines Borough,"102,242"
02150,Kodiak Island Borough,AK,11846," 788,771 ",,,,,AK,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,"96,877"
02158,Kusilvak Census Area,AK,19673," 148,131 ",,,,,AK,Juneau City and Borough,Juneau City and Borough,"2,379,361"
02164,Lake and Peninsula Borough,AK,29008," 86,097 ",,,,,AK,Kenai Peninsula Borough,Kenai Peninsula Borough,"2,541,367"
02170,Matanuska-Susitna Borough,AK,25232," 3,149,033 ",,,,,AK,Ketchikan Gateway Borough,Ketchikan Gateway Borough,"843,173"
02180,Nome Census Area,AK,28276," 455,576 ",,,,,AK,Kodiak Island Borough,Kodiak Island Borough,"788,771"
02185,North Slope Borough,AK,93823," 5,116,686 ",,,,,AK,Kusilvak Census Area,Kusilvak Census Area,"148,131"
02188,Northwest Arctic Borough,AK,40661," 568,340 ",,,,,AK,Lake and Peninsula Borough,Lake and Peninsula Borough,"86,097"
02195,Petersburg Borough,AK,8974," 160,827 ",,,,,AK,Matanuska-Susitna Borough,Matanuska-Susitna Borough,"3,149,033"
02198,Prince of Wales-Hyder Census Area,AK,12566," 240,661 ",,,,,AK,Nome Census Area,Nome Census Area,"455,576"
02220,Sitka City and Borough,AK,4850," 508,340 ",,,,,AK,North Slope Borough,North Slope Borough,"5,116,686"
02230,Skagway Municipality,AK,0," 73,367 ",,,,,AK,Northwest Arctic Borough,Northwest Arctic Borough,"568,340"
02240,Southeast Fairbanks Census Area,AK,26235," 638,767 ",,,,,AK,Petersburg Borough,Petersburg Borough,"160,827"
02261,Valdez-Cordova Census Area,AK,43516," 1,659,634 ",,,,,AK,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,"240,661"
02270,Wade Hampton Census Area,AK,19680, -   ,,,,,AK,Sitka City and Borough,Sitka City and Borough,"508,340"
02275,Wrangell City and Borough,AK,0," 83,427 ",,,,,AK,Skagway Municipality,Skagway Municipality,"73,367"
02282,Yakutat City and Borough,AK,0," 40,204 ",,,,,AK,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,"638,767"
02290,Yukon-Koyukuk Census Area,AK,158996," 283,973 ",,,,,AK,Valdez-Cordova Census Area0,Valdez-Cordova Census Area1,(NA)
04001,Apache County,AZ,11219," 2,231,257 ",,,,,AK,Wrangell City and Borough,Wrangell City and Borough,"83,427"
04003,Cochise County,AZ,6219," 4,855,020 ",,,,,AK,Yakutat City and Borough,Yakutat City and Borough,"40,204"
04005,Coconino County,AZ,18663," 7,696,628 ",,,,,AK,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,"283,973"
04007,Gila County,AZ,4796," 1,799,560 ",,,,,,,,
04009,Graham County,AZ,4641," 1,248,772 ",,,,,,Arizona County,Arizona,"403,474,201"
04011,Greenlee County,AZ,1849," 1,600,809 ",,,,,AZ,Apache County,Apache,"2,231,257"
04012,La Paz County,AZ,4514," 676,852 ",,,,,AZ,Cochise County,Cochise,"4,855,020"
04013,Maricopa County,AZ,9225," 298,240,414 ",,,,,AZ,Coconino County,Coconino,"7,696,628"
04015,Mohave County,AZ,13471," 6,257,347 ",,,,,AZ,Gila County,Gila,"1,799,560"
04017,Navajo County,AZ,9960," 2,804,006 ",,,,,AZ,Graham County,Graham,"1,248,772"
04019,Pima County,AZ,9189," 47,959,709 ",,,,,AZ,Greenlee County,Greenlee,"1,600,809"
04021,Pinal County,AZ,5374," 9,982,112 ",,,,,AZ,La Paz County,La Paz,"676,852"
04023,Santa Cruz County,AZ,1238," 2,022,514 ",,,,,AZ,Maricopa County,Maricopa,"298,240,414"
04025,Yavapai County,AZ,8128," 8,092,110 ",,,,,AZ,Mohave County,Mohave,"6,257,347"
04027,Yuma County,AZ,5519," 8,137,550 ",,,,,AZ,Navajo County,Navajo,"2,804,006"
05001,Arkansas County,AR,1034," 1,036,351 ",,,,,AZ,Pima County,Pima,"47,959,709"
05003,Ashley County,AR,939," 728,373 ",,,,,AZ,Pinal County,Pinal,"9,982,112"
05005,Baxter County,AR,587," 1,628,561 ",,,,,AZ,Santa Cruz County,Santa Cruz,"2,022,514"
05007,Benton County,AR,877," 18,675,011 ",,,,,AZ,Yavapai County,Yavapai,"8,092,110"
05009,Boone County,AR,602," 1,412,493 ",,,,,AZ,Yuma County,Yuma,"8,137,550"
05011,Bradley County,AR,654," 334,315 ",,,,,, County,,
05013,Calhoun County,AR,633," 339,866 ",,,,,,Arkansas County,Arkansas,"137,355,545"
05015,Carroll County,AR,642," 968,041 ",,,,,AR,Arkansas County,Arkansas,"1,036,351"
05017,Chicot County,AR,691," 245,185 ",,,,,AR,Ashley County,Ashley,"728,373"
05019,Clark County,AR,883," 751,849 ",,,,,AR,Baxter County,Baxter,"1,628,561"
05021,Clay County,AR,641," 349,451 ",,,,,AR,Benton County,Benton,"18,675,011"
05023,Cleburne County,AR,592," 622,875 ",,,,,AR,Boone County,Boone,"1,412,493"
05025,Cleveland County,AR,599," 151,474 ",,,,,AR,Bradley County,Bradley,"334,315"
05027,Columbia County,AR,767," 981,839 ",,,,,AR,Calhoun County,Calhoun,"339,866"
05029,Conway County,AR,567," 746,263 ",,,,,AR,Carroll County,Carroll,"968,041"
05031,Craighead County,AR,713," 5,245,632 ",,,,,AR,Chicot County,Chicot,"245,185"
05033,Crawford County,AR,604," 1,749,952 ",,,,,AR,Clark County,Clark,"751,849"
05035,Crittenden County,AR,637," 1,671,569 ",,,,,AR,Clay County,Clay,"349,451"
05037,Cross County,AR,622," 419,117 ",,,,,AR,Cleburne County,Cleburne,"622,875"
05039,Dallas County,AR,668," 238,227 ",,,,,AR,Cleveland County,Cleveland,"151,474"
05041,Desha County,AR,820," 516,319 ",,,,,AR,Columbia County,Columbia,"981,839"
05043,Drew County,AR,836," 600,632 ",,,,,AR,Conway County,Conway,"746,263"
05045,Faulkner County,AR,664," 4,146,551 ",,,,,AR,Craighead County,Craighead,"5,245,632"
05047,Franklin County,AR,620," 450,117 ",,,,,AR,Crawford County,Crawford,"1,749,952"
05049,Fulton County,AR,620," 200,824 ",,,,,AR,Crittenden County,Crittenden,"1,671,569"
05051,Garland County,AR,735," 3,498,943 ",,,,,AR,Cross County,Cross,"419,117"
05053,Grant County,AR,633," 405,324 ",,,,,AR,Dallas County,Dallas,"238,227"
05055,Greene County,AR,580," 1,587,303 ",,,,,AR,Desha County,Desha,"516,319"
05057,Hempstead County,AR,741," 1,008,658 ",,,,,AR,Drew County,Drew,"600,632"
05059,Hot Spring County,AR,622," 1,150,517 ",,,,,AR,Faulkner County,Faulkner,"4,146,551"
05061,Howard County,AR,595," 640,845 ",,,,,AR,Franklin County,Franklin,"450,117"
05063,Independence County,AR,772," 1,850,946 ",,,,,AR,Fulton County,Fulton,"200,824"
05065,Izard County,AR,584," 286,550 ",,,,,AR,Garland County,Garland,"3,498,943"
05067,Jackson County,AR,642," 733,508 ",,,,,AR,Grant County,Grant,"405,324"
05069,Jefferson County,AR,914," 2,909,795 ",,,,,AR,Greene County,Greene,"1,587,303"
05071,Johnson County,AR,683," 737,464 ",,,,,AR,Hempstead County,Hempstead,"1,008,658"
05073,Lafayette County,AR,545," 140,066 ",,,,,AR,Hot Spring County,Hot Spring,"1,150,517"
05075,Lawrence County,AR,592," 444,888 ",,,,,AR,Howard County,Howard,"640,845"
05077,Lee County,AR,620," 158,901 ",,,,,AR,Independence County,Independence,"1,850,946"
05079,Lincoln County,AR,572," 246,785 ",,,,,AR,Izard County,Izard,"286,550"
05081,Little River County,AR,565," 496,016 ",,,,,AR,Jackson County,Jackson,"733,508"
05083,Logan County,AR,732," 489,303 ",,,,,AR,Jefferson County,Jefferson,"2,909,795"
05085,Lonoke County,AR,802," 1,409,825 ",,,,,AR,Johnson County,Johnson,"737,464"
05087,Madison County,AR,837," 482,194 ",,,,,AR,Lafayette County,Lafayette,"140,066"
05089,Marion County,AR,640," 666,082 ",,,,,AR,Lawrence County,Lawrence,"444,888"
05091,Miller County,AR,638," 1,299,941 ",,,,,AR,Lee County,Lee,"158,901"
05093,Mississippi County,AR,920," 2,992,677 ",,,,,AR,Lincoln County,Lincoln,"246,785"
05095,Monroe County,AR,621," 171,858 ",,,,,AR,Little River County,Little River,"496,016"
05097,Montgomery County,AR,800," 140,980 ",,,,,AR,Logan County,Logan,"489,303"
05099,Nevada County,AR,621," 230,798 ",,,,,AR,Lonoke County,Lonoke,"1,409,825"
05101,Newton County,AR,823," 104,120 ",,,,,AR,Madison County,Madison,"482,194"
05103,Ouachita County,AR,740," 656,225 ",,,,,AR,Marion County,Marion,"666,082"
05105,Perry County,AR,561," 166,505 ",,,,,AR,Miller County,Miller,"1,299,941"
05107,Phillips County,AR,727," 499,944 ",,,,,AR,Mississippi County,Mississippi,"2,992,677"
05109,Pike County,AR,614," 271,691 ",,,,,AR,Monroe County,Monroe,"171,858"
05111,Poinsett County,AR,763," 555,034 ",,,,,AR,Montgomery County,Montgomery,"140,980"
05113,Polk County,AR,862," 590,519 ",,,,,AR,Nevada County,Nevada,"230,798"
05115,Pope County,AR,831," 2,908,637 ",,,,,AR,Newton County,Newton,"104,120"
05117,Prairie County,AR,676," 180,502 ",,,,,AR,Ouachita County,Ouachita,"656,225"
05119,Pulaski County,AR,808," 30,579,205 ",,,,,AR,Perry County,Perry,"166,505"
05121,Randolph County,AR,656," 567,773 ",,,,,AR,Phillips County,Phillips,"499,944"
05123,St. Francis County,AR,642," 695,578 ",,,,,AR,Pike County,Pike,"271,691"
05125,Saline County,AR,731," 3,070,928 ",,,,,AR,Poinsett County,Poinsett,"555,034"
05127,Scott County,AR,898," 353,079 ",,,,,AR,Polk County,Polk,"590,519"
05129,Searcy County,AR,669," 182,422 ",,,,,AR,Pope County,Pope,"2,908,637"
05131,Sebastian County,AR,546," 7,068,271 ",,,,,AR,Prairie County,Prairie,"180,502"
05133,Sevier County,AR,581," 539,790 ",,,,,AR,Pulaski County,Pulaski,"30,579,205"
05135,Sharp County,AR,606," 397,995 ",,,,,AR,Randolph County,Randolph,"567,773"
05137,Stone County,AR,609," 255,235 ",,,,,AR,St. Francis County,St. Francis,"695,578"
05139,Union County,AR,1055," 2,579,072 ",,,,,AR,Saline County,Saline,"3,070,928"
05141,Van Buren County,AR,724," 370,396 ",,,,,AR,Scott County,Scott,"353,079"
05143,Washington County,AR,956," 13,190,992 ",,,,,AR,Searcy County,Searcy,"182,422"
05145,White County,AR,1042," 2,360,524 ",,,,,AR,Sebastian County,Sebastian,"7,068,271"
05147,Woodruff County,AR,594," 240,728 ",,,,,AR,Sevier County,Sevier,"539,790"
05149,Yell County,AR,949," 669,036 ",,,,,AR,Sharp County,Sharp,"397,995"
06001,Alameda County,CA,821," 148,710,279 ",,,,,AR,Stone County,Stone,"255,235"
06003,Alpine County,CA,743," 102,508 ",,,,,AR,Union County,Union,"2,579,072"
06005,Amador County,CA,604," 1,603,830 ",,,,,AR,Van Buren County,Van Buren,"370,396"
06007,Butte County,CA,1677," 9,106,972 ",,,,,AR,Washington County,Washington,"13,190,992"
06009,Calaveras County,CA,1037," 1,362,966 ",,,,,AR,White County,White,"2,360,524"
06011,Colusa County,CA,1156," 1,366,634 ",,,,,AR,Woodruff County,Woodruff,"240,728"
06013,Contra Costa County,CA,802," 76,340,778 ",,,,,AR,Yell County,Yell,"669,036"
06015,Del Norte County,CA,1230," 793,917 ",,,,,, County,,
06017,El Dorado County,CA,1791," 8,382,976 ",,,,,,California County,California,"3,167,460,825"
06019,Fresno County,CA,6018," 45,388,356 ",,,,,CA,Alameda County,Alameda,"148,710,279"
06021,Glenn County,CA,1327," 967,170 ",,,,,CA,Alpine County,Alpine,"102,508"
06023,Humboldt County,CA,4053," 5,629,986 ",,,,,CA,Amador County,Amador,"1,603,830"
06025,Imperial County,CA,4482," 8,517,940 ",,,,,CA,Butte County,Butte,"9,106,972"
06027,Inyo County,CA,10228," 1,120,740 ",,,,,CA,Calaveras County,Calaveras,"1,362,966"
06029,Kern County,CA,8162," 43,822,046 ",,,,,CA,Colusa County,Colusa,"1,366,634"
06031,Kings County,CA,1392," 6,607,669 ",,,,,CA,Contra Costa County,Contra Costa,"76,340,778"
06033,Lake County,CA,1330," 1,867,799 ",,,,,CA,Del Norte County,Del Norte,"793,917"
06035,Lassen County,CA,4721," 1,079,581 ",,,,,CA,El Dorado County,El Dorado,"8,382,976"
06037,Los Angeles County,CA,4752," 790,016,435 ",,,,,CA,Fresno County,Fresno,"45,388,356"
06039,Madera County,CA,2153," 6,140,436 ",,,,,CA,Glenn County,Glenn,"967,170"
06041,Marin County,CA,828," 30,668,950 ",,,,,CA,Humboldt County,Humboldt,"5,629,986"
06043,Mariposa County,CA,1463," 704,140 ",,,,,CA,Imperial County,Imperial,"8,517,940"
06045,Mendocino County,CA,3879," 3,519,898 ",,,,,CA,Inyo County,Inyo,"1,120,740"
06047,Merced County,CA,1972," 9,251,611 ",,,,,CA,Kern County,Kern,"43,822,046"
06049,Modoc County,CA,4204," 431,710 ",,,,,CA,Kings County,Kings,"6,607,669"
06051,Mono County,CA,3132," 1,078,682 ",,,,,CA,Lake County,Lake,"1,867,799"
06053,Monterey County,CA,3771," 26,728,936 ",,,,,CA,Lassen County,Lassen,"1,079,581"
06055,Napa County,CA,788," 11,316,575 ",,,,,CA,Los Angeles County,Los Angeles,"790,016,435"
06057,Nevada County,CA,975," 4,543,195 ",,,,,CA,Madera County,Madera,"6,140,436"
06059,Orange County,CA,948," 270,440,831 ",,,,,CA,Marin County,Marin,"30,668,950"
06061,Placer County,CA,1500," 26,571,231 ",,,,,CA,Mariposa County,Mariposa,"704,140"
06063,Plumas County,CA,2614," 893,623 ",,,,,CA,Mendocino County,Mendocino,"3,519,898"
06065,Riverside County,CA,7304," 95,159,114 ",,,,,CA,Merced County,Merced,"9,251,611"
06067,Sacramento County,CA,996," 98,990,166 ",,,,,CA,Modoc County,Modoc,"431,710"
06069,San Benito County,CA,1391," 2,261,595 ",,,,,CA,Mono County,Mono,"1,078,682"
06071,San Bernardino County,CA,20106," 100,649,568 ",,,,,CA,Monterey County,Monterey,"26,728,936"
06073,San Diego County,CA,4526," 257,341,197 ",,,,,CA,Napa County,Napa,"11,316,575"
06075,San Francisco County,CA,232," 233,953,076 ",,,,,CA,Nevada County,Nevada,"4,543,195"
06077,San Joaquin County,CA,1426," 32,624,193 ",,,,,CA,Orange County,Orange,"270,440,831"
06079,San Luis Obispo County,CA,3616," 17,761,567 ",,,,,CA,Placer County,Placer,"26,571,231"
06081,San Mateo County,CA,741," 165,414,201 ",,,,,CA,Plumas County,Plumas,"893,623"
06083,Santa Barbara County,CA,3790," 31,147,307 ",,,,,CA,Riverside County,Riverside,"95,159,114"
06085,Santa Clara County,CA,1305," 382,786,734 ",,,,,CA,Sacramento County,Sacramento,"98,990,166"
06087,Santa Cruz County,CA,608," 16,408,162 ",,,,,CA,San Benito County,San Benito,"2,261,595"
06089,Shasta County,CA,3848," 8,126,075 ",,,,,CA,San Bernardino County,San Bernardino,"100,649,568"
06091,Sierra County,CA,962," 96,666 ",,,,,CA,San Diego County,San Diego,"257,341,197"
06093,Siskiyou County,CA,6348," 1,594,553 ",,,,,CA,San Francisco County,San Francisco,"233,953,076"
06095,Solano County,CA,907," 28,736,277 ",,,,,CA,San Joaquin County,San Joaquin,"32,624,193"
06097,Sonoma County,CA,1768," 31,368,529 ",,,,,CA,San Luis Obispo County,San Luis Obispo,"17,761,567"
06099,Stanislaus County,CA,1515," 23,457,778 ",,,,,CA,San Mateo County,San Mateo,"165,414,201"
06101,Sutter County,CA,609," 3,861,722 ",,,,,CA,Santa Barbara County,Santa Barbara,"31,147,307"
06103,Tehama County,CA,2962," 1,986,742 ",,,,,CA,Santa Clara County,Santa Clara,"382,786,734"
06105,Trinity County,CA,3208," 370,586 ",,,,,CA,Santa Cruz County,Santa Cruz,"16,408,162"
06107,Tulare County,CA,4839," 18,098,172 ",,,,,CA,Shasta County,Shasta,"8,126,075"
06109,Tuolumne County,CA,2275," 2,364,198 ",,,,,CA,Sierra County,Sierra,"96,666"
06111,Ventura County,CA,2208," 52,689,371 ",,,,,CA,Siskiyou County,Siskiyou,"1,594,553"
06113,Yolo County,CA,1023," 15,675,696 ",,,,,CA,Solano County,Solano,"28,736,277"
06115,Yuba County,CA,644," 3,152,201 ",,,,,CA,Sonoma County,Sonoma,"31,368,529"
08001,Adams County,CO,1198," 30,417,710 ",,,,,CA,Stanislaus County,Stanislaus,"23,457,778"
08003,Alamosa County,CO,724," 667,241 ",,,,,CA,Sutter County,Sutter,"3,861,722"
08005,Arapahoe County,CO,805," 51,907,882 ",,,,,CA,Tehama County,Tehama,"1,986,742"
08007,Archuleta County,CO,1355," 536,520 ",,,,,CA,Trinity County,Trinity,"370,586"
08009,Baca County,CO,2557," 90,865 ",,,,,CA,Tulare County,Tulare,"18,098,172"
08011,Bent County,CO,1541," 104,847 ",,,,,CA,Tuolumne County,Tuolumne,"2,364,198"
08013,Boulder County,CO,751," 32,366,443 ",,,,,CA,Ventura County,Ventura,"52,689,371"
08014,Broomfield County,CO,0," 9,875,420 ",,,,,CA,Yolo County,Yolo,"15,675,696"
08015,Chaffee County,CO,1015," 923,483 ",,,,,CA,Yuba County,Yuba,"3,152,201"
08017,Cheyenne County,CO,1782," 225,906 ",,,,,, County,,
08019,Clear Creek County,CO,396," 489,076 ",,,,,,Colorado County,Colorado,"416,114,361"
08021,Conejos County,CO,1291," 146,533 ",,,,,CO,Adams County,Adams,"30,417,710"
08023,Costilla County,CO,1231," 80,316 ",,,,,CO,Alamosa County,Alamosa,"667,241"
08025,Crowley County,CO,800," 81,960 ",,,,,CO,Arapahoe County,Arapahoe,"51,907,882"
08027,Custer County,CO,740," 161,211 ",,,,,CO,Archuleta County,Archuleta,"536,520"
08029,Delta County,CO,1149," 864,046 ",,,,,CO,Baca County,Baca,"90,865"
08031,Denver County,CO,155," 96,723,136 ",,,,,CO,Bent County,Bent,"104,847"
08033,Dolores County,CO,1068," 97,584 ",,,,,CO,Boulder County,Boulder,"32,366,443"
08035,Douglas County,CO,843," 23,055,766 ",,,,,CO,Broomfield County,Broomfield,"9,875,420"
08037,Eagle County,CO,1692," 4,766,584 ",,,,,CO,Chaffee County,Chaffee,"923,483"
08039,Elbert County,CO,1851," 786,665 ",,,,,CO,Cheyenne County,Cheyenne,"225,906"
08041,El Paso County,CO,2130," 40,283,198 ",,,,,CO,Clear Creek County,Clear Creek,"489,076"
08043,Fremont County,CO,1534," 1,514,276 ",,,,,CO,Conejos County,Conejos,"146,533"
08045,Garfield County,CO,2956," 3,576,538 ",,,,,CO,Costilla County,Costilla,"80,316"
08047,Gilpin County,CO,150," 703,080 ",,,,,CO,Crowley County,Crowley,"81,960"
08049,Grand County,CO,1870," 1,022,285 ",,,,,CO,Custer County,Custer,"161,211"
08051,Gunnison County,CO,3260," 1,180,904 ",,,,,CO,Delta County,Delta,"864,046"
08053,Hinsdale County,CO,1123," 40,578 ",,,,,CO,Denver County,Denver,"96,723,136"
08055,Huerfano County,CO,1593," 242,371 ",,,,,CO,Dolores County,Dolores,"97,584"
08057,Jackson County,CO,1621," 90,327 ",,,,,CO,Douglas County,Douglas,"23,055,766"
08059,Jefferson County,CO,778," 35,362,942 ",,,,,CO,Eagle County,Eagle,"4,766,584"
08061,Kiowa County,CO,1786," 39,361 ",,,,,CO,Elbert County,Elbert,"786,665"
08063,Kit Carson County,CO,2162," 400,534 ",,,,,CO,El Paso County,El Paso,"40,283,198"
08065,Lake County,CO,384," 344,487 ",,,,,CO,Fremont County,Fremont,"1,514,276"
08067,La Plata County,CO,1700," 3,067,952 ",,,,,CO,Garfield County,Garfield,"3,576,538"
08069,Larimer County,CO,2634," 22,240,217 ",,,,,CO,Gilpin County,Gilpin,"703,080"
08071,Las Animas County,CO,4776," 472,329 ",,,,,CO,Grand County,Grand,"1,022,285"
