fips,year,TOT_POP,white,black,native,asian,pac_isl,two_plus_races,hispanic
1105,2021,8355,2438,5634,25,51,7,67,133
1107,2021,18801,9990,7449,49,56,1,216,1040
1109,2021,32991,18293,12546,206,553,6,581,806
1111,2021,21989,16658,4108,103,101,19,352,648
1113,2021,58722,26324,26686,262,435,138,1405,3472
1115,2021,92748,78313,9482,303,809,57,1364,2420
1117,2021,226902,172572,31548,584,5355,91,3199,13553
1119,2021,12164,3079,8567,19,205,1,117,176
1121,2021,81524,50480,26809,240,457,16,1414,2108
1123,2021,41023,28182,10887,145,220,6,513,1070
1125,2021,227007,136300,74085,484,3672,92,2886,9488
1127,2021,64818,57338,3919,265,286,24,1073,1913
1129,2021,15147,9889,3454,1158,122,12,249,263
1131,2021,10446,2839,7265,24,23,1,133,161
1133,2021,23652,22066,239,140,77,9,338,783
2013,2021,3398,315,318,649,1398,35,135,548
2016,2021,5059,1131,343,543,1887,165,245,745
2020,2021,288121,161468,14883,24149,28196,8989,22603,27833
2050,2021,18557,1586,194,15505,185,26,670,391
2060,2021,838,326,6,246,21,2,155,82
2063,2021,6941,4702,58,792,454,55,451,429
2066,2021,2630,1728,18,450,71,9,201,153
2068,2021,1593,1210,49,94,84,1,84,71
2070,2021,4772,656,38,3417,44,12,437,168
2090,2021,95593,65869,4477,7285,3134,544,6293,7991
2100,2021,2071,1591,14,198,24,0,163,81
2105,2021,2332,1099,46,796,17,2,212,160
2110,2021,31973,20386,417,3428,2186,384,2894,2278
2122,2021,59767,47401,471,4547,1110,168,3345,2725
2130,2021,13754,8651,124,1821,1129,45,1201,783
2150,2021,12787,6135,157,1473,2921,94,889,1118
2158,2021,8360,259,28,7662,40,2,232,137
2164,2021,1416,320,15,823,42,8,165,43
2170,2021,110686,86101,1328,7127,1757,490,7685,6198
2180,2021,9865,1372,71,7404,146,17,636,219
2185,2021,10972,3066,166,5853,629,206,587,465
2188,2021,7560,756,92,5969,80,18,447,198
2195,2021,3356,2342,59,336,173,27,236,183
2198,2021,5729,2543,34,2279,103,30,501,239
2220,2021,8407,5164,67,1188,615,30,707,636
2230,2021,1132,891,18,54,33,4,56,76
2240,2021,6970,5020,121,776,179,23,346,505
2275,2021,2055,1308,13,328,71,1,261,73
2282,2021,704,226,14,262,51,7,98,46
2290,2021,5275,1124,42,3585,30,9,327,158
4001,2021,65623,11862,335,47511,234,32,973,4676
4003,2021,126050,68578,4929,1101,2541,375,3305,45221
4005,2021,145052,77625,1793,37286,2838,176,3669,21665
4007,2021,53589,32871,320,8911,453,69,694,10271
4009,2021,39050,19858,598,4558,245,65,541,13185
4011,2021,9404,4140,146,271,71,9,160,4607
4012,2021,16408,9105,148,1919,131,31,379,4695
4013,2021,4496588,2402232,261654,76630,202070,9020,108281,1436701
4015,2021,217692,164719,2558,4441,2733,422,4289,38530
4017,2021,108147,45451,915,45892,650,158,1979,13102
4019,2021,1052030,528655,37321,26044,31620,1589,21829,404972
4021,2021,449557,247464,22696,18946,7547,1524,10132,141248
4023,2021,47883,7410,239,172,296,18,171,39577
4025,2021,242253,192148,1883,3365,2844,303,4531,37179
4027,2021,206990,60497,3889,2083,2310,257,2461,135493
5001,2021,16722,11412,4150,52,135,10,314,649
5003,2021,18674,12676,4446,77,44,2,249,1180
5005,2021,42144,39555,204,315,243,31,625,1171
5007,2021,293692,209445,5588,4243,13302,2123,7243,51748
5009,2021,37830,35234,174,299,251,30,689,1153
5011,2021,10408,5622,2823,39,28,8,171,1717
5013,2021,4741,3419,958,21,12,0,105,226
5015,2021,28435,21888,182,302,690,331,584,4458
5017,2021,10019,3869,5295,27,66,3,105,654
5019,2021,21321,14545,4979,102,145,94,378,1078
5021,2021,14350,13538,136,78,30,4,222,342
5023,2021,25015,23428,129,159,117,8,428,746
5025,2021,7514,6302,822,39,16,1,122,212
5027,2021,22672,13439,7915,94,193,10,324,697
5029,2021,20873,16820,2385,150,103,11,484,920
5031,2021,112218,82754,19357,374,1468,57,2018,6190
5033,2021,60378,49984,940,1442,892,29,1843,5248
5035,2021,47525,18798,26161,129,325,16,630,1466
5037,2021,16681,11962,3859,63,146,11,260,380
5039,2021,6308,3337,2515,35,25,1,129,266
5041,2021,11090,4785,5227,49,100,4,147,778
5043,2021,17110,11252,4748,73,129,3,234,671
5045,2021,125106,98879,15451,654,1580,76,2808,5658
5047,2021,17173,15601,145,254,186,37,315,635
5049,2021,12145,11378,95,100,37,3,256,276
5051,2021,100330,81340,8626,636,840,72,2434,6382
5053,2021,18090,16567,510,80,85,1,260,587
5055,2021,46317,42573,987,210,190,193,654,1510
5057,2021,19694,10446,5830,94,115,16,446,2747
5059,2021,33148,27269,3597,196,141,17,652,1276
5061,2021,12698,7935,2600,123,72,7,195,1766
5063,2021,37723,32854,903,189,313,53,650,2761
5065,2021,13911,12814,345,108,68,3,180,393
5067,2021,16811,12801,2909,110,86,42,294,569
5069,2021,65861,24918,37542,221,591,69,862,1658
5071,2021,25845,20019,441,248,763,44,563,3767
5073,2021,6163,3638,2129,29,42,1,103,221
5075,2021,16292,15375,201,95,54,11,269,287
5077,2021,8619,3516,4608,47,50,2,124,272
5079,2021,13037,8264,3883,53,34,2,174,627
5081,2021,11944,8621,2338,169,62,7,268,479
5083,2021,21215,19175,295,243,455,6,373,668
5085,2021,74722,63526,4699,463,695,35,1579,3725
5087,2021,16960,14930,100,245,158,133,310,1084
5089,2021,16978,15815,111,156,99,7,353,437
5091,2021,42649,28767,10787,309,246,26,866,1648
5093,2021,39661,22774,14066,123,176,5,537,1980
5095,2021,6683,3584,2680,37,52,0,140,190
5097,2021,8611,7748,46,100,114,3,195,405
5099,2021,8187,5199,2391,25,40,1,138,393
5101,2021,7204,6663,32,101,34,1,201,172
5103,2021,22306,12195,8847,84,108,6,472,594
5105,2021,9964,9095,218,80,31,2,216,322
5107,2021,15906,5450,9785,52,69,3,192,355
5109,2021,10066,8676,349,80,55,1,190,715
5111,2021,22660,19355,1847,78,92,6,439,843
5113,2021,19353,16908,111,380,184,11,468,1291
5115,2021,63789,52814,2011,447,744,37,1299,6437
5117,2021,8135,6947,857,33,14,0,104,180
5119,2021,397821,201717,151040,1218,9231,46,8650,25919
5121,2021,18865,17033,250,116,94,419,448,505
5123,2021,22739,8873,11848,124,156,17,388,1333
5125,2021,125233,102542,11344,554,1695,42,1960,7096
5127,2021,9822,8190,76,215,282,3,245,811
5129,2021,7880,7275,32,107,28,2,191,245
5131,2021,128400,87286,8571,2456,5834,118,4385,19750
5133,2021,15783,8728,575,347,88,187,382,5476
5135,2021,17622,16351,191,180,88,17,345,450
5137,2021,12481,11787,58,109,60,4,227,236
5139,2021,38340,23134,12609,126,277,16,547,1631
5141,2021,15694,14487,130,134,74,4,300,565
5143,2021,250057,174383,8744,2815,6436,7180,6618,43881
5145,2021,77207,67347,3468,430,618,54,1573,3717
5147,2021,6116,4252,1545,23,17,5,143,131
5149,2021,20155,14816,381,135,285,7,260,4271
6001,2021,1648556,482189,161893,4086,546078,13333,71309,369668
6003,2021,1235,775,4,241,22,0,37,156
6005,2021,41259,31341,1152,583,635,101,1035,6412
6007,2021,208309,144049,3446,3321,10535,469,8064,38425
6009,2021,46221,36225,434,576,782,101,1580,6523
6011,2021,21917,7241,251,299,268,81,351,13426
6013,2021,1161413,474397,100735,3169,216376,5688,50243,310805
6015,2021,28100,17049,996,2063,831,50,1175,5936
6017,2021,193221,146708,1782,1457,9759,343,6593,26579
6019,2021,1013581,275787,46875,5797,108892,1537,20060,554633
6021,2021,28805,14146,269,446,722,42,518,12662
6023,2021,136310,98936,1755,7122,3763,404,6716,17614
6025,2021,179851,16605,4410,1330,2108,145,984,154269
6027,2021,18970,11292,174,2040,294,20,495,4655
6029,2021,917673,285148,48199,5355,44636,1082,18016,515237
6031,2021,153443,45987,9656,1354,5858,315,3500,86773
6033,2021,68766,45855,1186,1805,840,169,2450,16461
6035,2021,33159,21107,2596,926,480,272,984,6794
6037,2021,9829544,2488053,777490,18432,1474915,21603,224062,4824989
6039,2021,159410,50476,4961,1636,3499,189,2636,96013
6041,2021,260206,182437,6838,546,17221,427,9047,43690
6043,2021,17147,13284,214,439,285,29,531,2365
6045,2021,91305,57445,724,3541,1968,137,2648,24842
6047,2021,286461,71057,8526,1209,20542,659,5532,178936
6049,2021,8661,6580,104,259,103,31,252,1332
6051,2021,13247,8666,104,259,287,42,289,3600
6053,2021,437325,124038,10829,1251,24752,1924,10281,264250
6055,2021,136207,68696,2977,471,11770,379,3476,48438
6057,2021,103487,86878,566,832,1553,190,2990,10478
6059,2021,3167809,1220128,54537,6185,705377,8803,92186,1080593
6061,2021,412300,286599,7587,2281,35835,982,16343,62673
6063,2021,19915,16358,217,409,184,37,652,2058
6065,2021,2458395,787470,155301,11444,168483,7699,60383,1267615
6067,2021,1588921,668539,154449,7827,269467,18503,82682,387454
6069,2021,66677,20367,758,258,2513,184,1237,41360
6071,2021,2194710,557108,176634,8125,172349,7003,48806,1224685
6073,2021,3286069,1437672,155004,13899,400979,14033,119299,1145183
6075,2021,815201,311281,41592,1565,298459,3205,31069,128030
6077,2021,789410,223355,56036,3287,133751,5101,28549,339331
6079,2021,283159,191003,5188,1325,10464,386,7491,67302
6081,2021,737888,276267,16470,1044,228532,9328,29400,176847
6083,2021,446475,190451,7726,1841,23688,796,11209,210764
6085,2021,1885508,544685,45141,3810,751660,7342,61352,471518
6087,2021,267792,150577,2663,989,12739,343,8332,92149
6089,2021,182139,141823,2045,4149,5788,322,7315,20697
6091,2021,3283,2684,13,63,20,4,73,426
6093,2021,44118,32715,609,1731,710,120,2108,6125
6095,2021,451716,159487,61366,1897,70908,3927,25048,129083
6097,2021,485887,298783,8048,3426,21566,1577,14877,137610
6099,2021,552999,210893,15256,2749,30584,4091,15829,273597
6101,2021,99063,42938,2100,898,16714,282,3537,32594
6103,2021,65498,42977,571,1220,862,109,1884,17875
6105,2021,16060,12926,87,655,319,31,773,1269
6107,2021,477054,125819,6295,3305,16133,469,7012,318021
6109,2021,55810,43697,1210,830,747,127,1578,7621
6111,2021,839784,366270,15145,2434,62671,1577,21695,369992
6113,2021,216986,96876,5637,1101,31880,894,9839,70759
6115,2021,83421,43130,3295,1269,5860,375,4079,25413
8001,2021,522140,249323,17428,2994,21855,836,11308,218396
8003,2021,16547,7672,188,233,157,14,302,7981
8005,2021,654900,380519,70986,2820,41916,1794,22139,134726
8007,2021,13790,10501,88,228,112,12,297,2552
8009,2021,3514,2882,36,60,12,0,95,429
8011,2021,5759,3230,391,82,73,5,58,1920
8013,2021,329543,254620,3282,1296,15940,176,7849,46380
8014,2021,75325,56536,1078,309,5322,100,1815,10165
8015,2021,20074,17010,351,204,172,15,272,2050
8017,2021,1707,1391,22,21,38,1,21,213
8019,2021,9446,8262,90,66,121,3,178,726
8021,2021,7612,3467,47,80,36,6,98,3878
8023,2021,3625,1255,58,65,47,3,75,2122
8025,2021,6012,3156,635,97,73,1,80,1970
8027,2021,5045,4477,74,49,32,1,101,311
8029,2021,31661,25554,196,207,236,16,499,4953
8031,2021,711463,391361,63674,3511,27628,1262,17820,206207
8033,2021,2397,2075,8,64,8,2,48,192
8035,2021,368990,295361,6055,1118,20851,359,9284,35962
8037,2021,55727,37280,530,193,707,24,658,16335
8039,2021,27128,23460,337,167,251,38,538,2337
8041,2021,737867,499215,43889,4411,22188,2247,29798,136119
8043,2021,49661,39021,1920,701,424,20,756,6819
8045,2021,62161,41363,440,293,501,55,864,18645
8047,2021,5873,5040,78,57,82,14,141,461
8049,2021,15860,13711,140,98,125,14,208,1564
8051,2021,17281,14910,105,134,142,4,273,1713
8053,2021,781,691,10,8,5,0,19,48
8055,2021,6920,4325,66,81,49,15,127,2257
8057,2021,1363,1148,6,13,8,0,12,176
8059,2021,579581,447184,7506,2943,17576,564,11709,92099
8061,2021,1452,1263,8,12,7,1,21,140
8063,2021,6950,5399,47,39,53,6,113,1293
8065,2021,7407,4496,58,81,67,6,95,2604
8067,2021,56250,44002,361,3107,399,47,1020,7314
8069,2021,362533,295205,3874,1678,8164,284,8311,45017
8071,2021,14633,7790,279,194,203,8,206,5953
8073,2021,5688,4252,313,50,59,17,98,899
8075,2021,21487,16065,931,200,177,20,274,3820
8077,2021,157335,126575,1184,1052,1479,168,2847,24030
8079,2021,924,833,5,4,6,0,15,61
8081,2021,13185,10409,99,100,93,12,242,2230
8083,2021,26175,18780,108,3200,165,18,544,3360
8085,2021,43168,32531,214,315,304,59,657,9088
8087,2021,29008,16407,1073,147,190,53,330,10808
8089,2021,18594,9821,212,139,136,13,268,8005
8091,2021,5035,4509,8,24,38,9,81,366
8093,2021,17720,15614,170,146,157,10,383,1240
8095,2021,4512,3310,31,23,25,3,45,1075
8097,2021,17348,14612,166,44,344,15,238,1929
8099,2021,11996,6761,107,94,62,4,176,4792
8101,2021,169622,86451,3240,1206,1565,152,2924,74084
8103,2021,6476,5416,83,53,46,10,138,730
8105,2021,11408,5910,90,137,45,4,156,5066
8107,2021,25091,22453,267,76,220,19,293,1763
8109,2021,6471,3819,61,106,52,2,140,2291
8111,2021,733,598,2,7,5,0,16,105
8113,2021,8074,6818,46,56,80,5,112,957
8115,2021,2336,1838,17,15,17,0,40,409
8117,2021,30941,24982,361,82,465,29,379,4643
8119,2021,24926,21570,247,228,251,30,534,2066
8121,2021,4861,4147,61,16,15,2,79,541
8123,2021,340036,217293,4453,1927,5981,350,5844,104188
8125,2021,9941,7089,39,36,34,11,91,2641
9001,2021,959768,573556,109024,1354,55908,332,14907,204687
9003,2021,896854,525569,122802,1712,54809,280,17273,174409
9005,2021,185000,159247,3682,299,3932,83,2716,15041
9007,2021,164759,135692,8474,269,5328,63,3163,11770
9009,2021,863700,517880,115793,1613,37311,281,16631,174191
9011,2021,268805,199149,15347,2179,11234,187,8431,32278
9013,2021,150293,124286,5476,241,7643,46,2702,9899
9015,2021,116418,94947,2379,444,1568,49,2194,14837
10001,2021,184149,108289,49557,951,4214,112,6580,14446
10003,2021,571708,313090,146720,1095,34051,157,13618,62977
10005,2021,247527,186674,27658,987,3333,90,4995,23790
11001,2021,670050,249751,295889,1383,29309,319,16480,76919
12001,2021,279238,167683,55858,689,16951,150,7119,30788
12003,2021,28715,22740,4120,116,228,7,552,952
12005,2021,179168,135227,19682,1101,4218,234,5481,13225
12007,2021,28540,20615,5666,131,186,9,534,1399
12009,2021,616628,449277,62183,1955,16049,449,15039,71676
12011,2021,1930983,647872,554688,3759,72535,1232,32454,618443
12013,2021,13641,10484,1707,169,106,10,306,859
12015,2021,194843,161953,10656,521,2740,104,2949,15920
12017,2021,158083,137058,4733,566,2560,73,2539,10554
12019,2021,222361,155803,27562,881,6716,273,6498,24628
12021,2021,385980,238315,25356,755,5869,136,3786,111763
12023,2021,70385,50238,12820,360,732,52,1325,4858
12027,2021,34408,18608,4037,113,186,8,400,11056
12029,2021,17102,14194,1608,108,80,5,344,763
12031,2021,999935,508458,298357,3033,49011,770,26852,113454
12033,2021,322390,205308,72600,2325,10366,527,10766,20498
12035,2021,120932,89560,11966,356,2921,87,2277,13765
12037,2021,12572,9836,1613,66,46,6,246,759
12039,2021,43714,14275,23707,101,263,18,464,4886
12041,2021,18360,15635,1022,82,104,5,281,1231
12043,2021,12234,7236,1566,485,71,9,149,2718
12045,2021,14363,11760,1596,94,84,3,343,483
12047,2021,13993,7512,4485,100,97,0,260,1539
12049,2021,25425,11737,1724,97,247,21,366,11233
12051,2021,40313,12012,4260,529,360,29,342,22781
12053,2021,200638,149735,10967,660,2861,131,3792,32492
12055,2021,103296,66963,10008,453,1524,54,1485,22809
12057,2021,1478194,687238,240898,3273,65473,1073,32318,447921
12059,2021,19784,16918,1388,197,136,29,460,656
12061,2021,163662,121751,14661,374,2587,56,2405,21828
12063,2021,47694,31108,12336,343,284,56,1004,2563
12065,2021,14555,8912,4564,58,103,4,227,687
12067,2021,8382,5965,1049,27,27,5,140,1169
12069,2021,395804,263713,43570,1249,8922,468,6912,70970
12071,2021,787976,510305,63762,1698,13453,328,11071,187359
12073,2021,292817,161592,92892,758,10371,139,6505,20560
12075,2021,44158,34599,3974,222,343,25,798,4197
12077,2021,7900,5557,1537,75,29,0,122,580
12079,2021,18288,9981,6645,114,86,3,279,1180
12081,2021,412703,289955,34726,876,9493,231,6941,70481
12083,2021,385915,262614,48569,1291,6740,196,6801,59704
12085,2021,159942,123597,8128,333,2345,103,2135,23301
12086,2021,2662777,361215,399540,2340,40555,541,19722,1838864
12087,2021,82170,52878,5441,269,1179,120,1151,21132
12089,2021,94189,80650,5683,319,1002,73,1556,4906
12091,2021,213255,154055,20840,1147,6529,377,8534,21773
12093,2021,40266,24692,3403,388,341,43,477,10922
12095,2021,1422746,551892,288227,3043,79652,1633,28028,470271
12097,2021,403282,116673,41011,820,11231,441,6017,227089
12099,2021,1497987,788508,282668,2411,43810,761,21654,358175
12101,2021,584067,409850,36839,1588,17651,351,12078,105710
12103,2021,956615,699250,99301,2232,34139,848,19651,101194
12105,2021,753520,406454,111251,2020,13804,410,13129,206452
12107,2021,74167,52498,11677,332,485,63,1193,7919
12109,2021,292466,235676,15153,689,10519,221,5880,24328
12111,2021,343579,185197,71730,702,6562,209,6517,72662
12113,2021,193998,157355,12161,1350,4164,300,6322,12346
12115,2021,447057,366701,19208,813,8608,151,6497,45079
12117,2021,470093,270026,55291,1013,23832,292,10297,109342
12119,2021,135638,115080,8981,374,1422,95,1262,8424
12121,2021,44485,33268,5270,202,295,21,732,4697
12123,2021,21815,15821,4184,184,185,11,448,982
12125,2021,16335,11240,3656,58,98,5,295,983
12127,2021,564412,391094,59263,1622,10581,278,10589,90985
12129,2021,34690,27274,4669,220,233,28,741,1525
12131,2021,80069,67122,4020,521,1021,72,1887,5426
12133,2021,25436,19583,3596,303,177,92,651,1034
13001,2021,18488,12626,3457,40,136,13,311,1905
13003,2021,8391,4550,1297,42,40,13,145,2304
13005,2021,11079,8050,1759,13,60,13,213,971
13007,2021,2819,1366,1156,17,39,2,48,191
13009,2021,43781,22854,18286,81,724,31,617,1188
13011,2021,18562,15999,518,57,194,3,304,1487
13013,2021,86658,57312,11562,191,3480,72,1844,12197
13015,2021,110843,84130,12065,318,1208,93,2151,10878
13017,2021,17158,9248,6270,69,132,2,259,1178
13019,2021,18147,14510,1995,77,207,5,294,1059
13021,2021,156762,56747,87743,310,3374,97,2384,6107
13023,2021,12607,8529,3310,17,146,3,165,437
13025,2021,18101,16458,681,77,65,4,329,487
13027,2021,16270,9095,5565,64,223,9,237,1077
13029,2021,46938,33327,6994,149,1049,57,1412,3950
13031,2021,82442,51907,23930,218,1053,88,1554,3692
13033,2021,24310,11690,11064,114,132,28,354,928
13035,2021,25781,16987,7141,72,172,10,415,984
13037,2021,5509,1749,3344,8,55,0,66,287
13039,2021,55664,38460,10009,257,851,108,1709,4270
13043,2021,11037,6703,2740,16,85,2,144,1347
13045,2021,121968,84546,23876,340,1246,76,2727,9157
13047,2021,68397,61345,2008,232,1015,88,1260,2449
13049,2021,12766,7741,3657,197,101,8,293,769
13051,2021,296329,140162,119843,679,8770,400,6220,20255
13053,2021,9048,5132,1538,77,268,67,364,1602
13055,2021,24932,20476,2395,66,132,8,426,1429
13057,2021,274615,211074,20242,607,6219,177,5261,31035
13059,2021,128711,71137,35349,225,4909,55,2561,14475
13061,2021,2882,1060,1683,10,36,2,26,65
13063,2021,297100,24991,210832,506,14532,203,5899,40137
13065,2021,6725,4330,1804,43,31,4,129,384
13067,2021,766802,385005,214602,1326,42943,325,17929,104672
13069,2021,43386,24620,12332,114,325,17,609,5369
13071,2021,45812,24794,10609,111,384,15,500,9399
13073,2021,159639,104456,30403,500,7000,255,4911,12114
13075,2021,17225,10880,4766,60,125,4,261,1129
13077,2021,149956,104004,27717,373,3346,113,2873,11530
13079,2021,12153,8818,2511,63,104,2,188,467
13081,2021,19879,9767,8744,55,208,13,277,815
13083,2021,16326,15165,220,86,153,8,268,426
13085,2021,28497,25524,357,102,298,15,411,1790
13087,2021,29038,14235,12177,74,172,10,366,2004
13089,2021,757718,223448,404401,1116,48248,610,15058,64837
13091,2021,19759,12643,5824,59,113,4,306,810
13093,2021,10885,4587,5240,24,79,4,136,815
13095,2021,84844,19875,60258,150,731,52,1075,2703
13097,2021,145814,49847,73256,369,2393,146,3586,16217
13099,2021,10619,4593,5499,51,83,7,122,264
13101,2021,3699,2175,245,50,24,1,78,1126
13103,2021,66741,50449,9886,194,768,65,1439,3940
13105,2021,19579,12289,5529,46,204,8,267,1236
13107,2021,22716,13390,7704,68,172,7,262,1113
13109,2021,10672,5940,3204,26,72,8,145,1277
13111,2021,25817,24198,232,110,168,9,369,731
13113,2021,120574,70640,31356,274,6042,120,2625,9517
13115,2021,98771,68978,14265,243,1404,62,1861,11958
13117,2021,260206,171410,11748,574,46392,124,4488,25470
13119,2021,23785,19479,2131,60,371,7,411,1326
13121,2021,1065334,415101,466187,1469,83094,235,21515,77733
13123,2021,32026,27118,234,125,176,21,343,4009
13125,2021,2919,2535,262,16,6,2,48,50
13127,2021,84739,53928,21787,235,1367,100,1447,5875
13129,2021,58237,44179,2263,165,703,62,922,9943
13131,2021,25918,14887,7272,163,142,13,301,3140
13133,2021,19536,11651,6040,58,230,17,216,1324
13135,2021,964546,320319,279028,1553,125776,432,23569,213869
13137,2021,46774,35348,1691,120,1021,49,760,7785
13139,2021,207369,122989,15478,374,4509,89,2827,61103
13141,2021,8630,2244,5919,32,93,3,70,269
13143,2021,30572,27562,1406,88,240,14,565,697
13145,2021,35626,26980,5580,139,482,52,724,1669
13147,2021,26409,19757,4817,48,321,5,422,1039
13149,2021,11565,9736,1124,45,61,2,246,351
13151,2021,245235,87239,124252,558,7976,177,5751,19282
13153,2021,166829,89639,55192,430,5139,172,4804,11453
13155,2021,9618,6445,2569,9,69,0,94,432
13157,2021,80286,63048,6159,145,1783,38,1379,7734
13159,2021,15278,11626,2675,49,54,2,244,628
13161,2021,14872,10420,2187,38,94,5,193,1935
13163,2021,15524,6588,7989,34,98,3,177,635
13165,2021,8639,4309,3493,31,99,1,107,599
13167,2021,9160,5582,3113,22,43,3,125,272
13169,2021,28400,20003,7099,87,178,3,418,612
13171,2021,19080,12547,5406,47,133,6,350,591
13173,2021,9907,6587,2155,55,108,4,269,729
13175,2021,49547,28238,18544,102,511,8,713,1431
13177,2021,33411,22765,8114,102,823,30,432,1145
13179,2021,65711,24475,28424,300,1298,312,2639,8263
13181,2021,7749,5241,2137,32,34,1,137,167
13183,2021,17152,9624,4528,130,189,82,617,1982
13185,2021,119276,62233,44289,330,2255,112,2527,7530
13187,2021,34278,30942,514,203,250,39,547,1783
13189,2021,21633,11445,8818,68,112,15,390,785
13191,2021,11123,7012,3504,48,55,9,177,318
13193,2021,12004,3950,7158,24,167,14,127,564
13195,2021,30885,24612,2976,70,623,10,513,2081
13197,2021,7440,4357,2179,54,71,18,152,609
13199,2021,20793,11939,7641,86,142,6,369,610
13201,2021,5919,3910,1658,17,32,0,100,202
13205,2021,21521,9750,10104,63,176,11,269,1148
13207,2021,28712,21045,6159,72,281,9,400,746
13209,2021,8653,5664,2185,10,60,1,127,606
13211,2021,20635,15228,4223,46,133,2,311,692
13213,2021,39951,32396,386,131,186,7,441,6404
13215,2021,205617,80035,96004,732,5681,420,5807,16938
13217,2021,115355,47731,56026,249,1330,121,2377,7521
13219,2021,43023,35802,2063,68,1878,16,665,2531
13221,2021,15140,11216,2512,39,161,2,331,879
13223,2021,173780,112999,40113,405,2232,117,3956,13958
13225,2021,28417,12695,12484,75,270,10,491,2392
13227,2021,34024,31641,397,84,241,12,505,1144
13229,2021,19976,16658,1701,85,126,15,374,1017
13231,2021,19477,16968,1662,49,98,5,315,380
13233,2021,43496,30775,5383,100,287,20,782,6149
13235,2021,9917,6083,3129,32,122,3,172,376
13237,2021,22585,14909,5809,44,129,9,294,1391
13239,2021,2243,1092,1049,11,10,0,35,46
13241,2021,17119,15019,256,74,164,10,248,1348
13243,2021,6287,2221,3779,7,36,1,65,178
13245,2021,205673,67271,118006,595,3434,417,4986,10964
13247,2021,94082,24288,55881,190,1622,96,1977,10028
13249,2021,4478,3199,867,3,46,0,85,278
13251,2021,14105,7731,5685,43,81,2,193,370
13253,2021,9197,5666,2983,15,68,0,117,348
13255,2021,67909,37861,24206,204,603,52,1256,3727
13257,2021,26865,21889,2775,89,243,45,720,1104
13259,2021,5341,1197,2030,23,157,1,69,1864
13261,2021,29283,11384,15351,81,353,9,310,1795
13263,2021,5742,2331,3073,37,20,2,82,197
13265,2021,1558,593,813,2,27,0,44,79
13267,2021,23052,13117,6456,60,155,13,319,2932
13269,2021,7799,4512,2863,13,75,1,121,214
13271,2021,12414,5997,4189,23,85,3,160,1957
13273,2021,8964,3250,5277,25,40,0,114,258
13275,2021,45842,26224,16584,179,423,18,592,1822
13277,2021,41212,22258,12472,78,574,12,539,5279
13279,2021,26911,15949,7084,52,218,24,382,3202
13281,2021,12875,12023,150,39,119,3,147,394
